('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         801995 function calls (778808 primitive calls) in 1.888 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    181/4    0.001    0.000    0.210    0.053 <frozen importlib._bootstrap>:1349(_find_and_load)
    181/4    0.001    0.000    0.210    0.053 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      181    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      179    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      179    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      163    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      162    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      162    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      162    0.000    0.000    0.061    0.000 _parser.py:969(parse)
      162    0.001    0.000    0.007    0.000 _compiler.py:511(_compile_info)
      162    0.001    0.000    0.101    0.001 _compiler.py:740(compile)
      162    0.000    0.000    0.039    0.000 _compiler.py:573(_code)
      162    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      162    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      162    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      161    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      161    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
    158/4    0.001    0.000    0.210    0.052 <frozen importlib._bootstrap>:911(_load_unlocked)
