('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         836748 function calls (812480 primitive calls) in 2.739 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  193/189    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      190    0.000    0.000    0.041    0.000 _compiler.py:573(_code)
  758/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      626    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       62    0.000    0.000    0.003    0.000 typing.py:687(Union)
       82    0.000    0.000    0.274    0.003 response.py:1202(read_chunked)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        2    0.000    0.000    1.958    0.979 connectionpool.py:377(_make_request)
       28    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      126    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      871    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      504    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      209    0.000    0.000    0.001    0.000 filter.py:616(_attribute_match)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      499    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        1    0.000    0.000    2.494    2.494 financial_enhanced.py:6(get_info)
      743    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      626    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      220    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
      175    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1099    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      101    0.000    0.000    1.655    0.016 {method 'readline' of '_io.BufferedReader' objects}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      528    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       23    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      989    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      100    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      271    0.000    0.000    0.000    0.000 {built-in method builtins.any}
  167/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      309    0.000    0.000    0.113    0.000 __init__.py:226(compile)
        2    0.000    0.000    0.002    0.001 connection.py:418(request)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      300    0.000    0.000    0.000    0.000 filter.py:627(_match_attribute_value_helper)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       54    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
      126    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3177(_collect_parameters)
       80    0.000    0.000    0.261    0.003 response.py:1180(_handle_chunk)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
     1099    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      325    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      628    0.000    0.000    0.000    0.000 socket.py:732(readable)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      200    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.077    0.077 ssl.py:956(_create)
        3    0.000    0.000    0.010    0.003 utils.py:1(<module>)
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      524    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      140    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      414    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.078    0.078 ssl_.py:508(_ssl_wrap_socket_impl)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3092(_has_generic_or_protocol_as_origin)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
        1    0.000    0.000    0.078    0.078 connection.py:895(_ssl_wrap_socket_and_match_hostname)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      122    0.000    0.000    0.261    0.002 client.py:633(_safe_read)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
       25    0.000    0.000    0.001    0.000 connection.py:404(putheader)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       82    0.000    0.000    0.000    0.000 response.py:1162(_update_chunk_length)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      520    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      201    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.045    0.045 dammit.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
  213/211    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       80    0.000    0.000    0.012    0.000 response.py:494(_decode)
      480    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
        1    0.000    0.000    0.178    0.178 socket.py:946(getaddrinfo)
      355    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
     1256    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
       48    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
