('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         802143 function calls (778958 primitive calls) in 1.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1260    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
     3411    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     5526    0.000    0.000    0.000    0.000 element.py:2227(__bool__)
    158/4    0.000    0.000    0.207    0.052 <frozen importlib._bootstrap>:911(_load_unlocked)
       17    0.000    0.000    0.447    0.026 __init__.py:1(<module>)
       79    0.000    0.000    0.004    0.000 css_parser.py:472(parse_attribute_selector)
      161    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      917    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      158    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      132    0.000    0.000    0.003    0.000 typing.py:1242(__init__)
      162    0.000    0.000    0.064    0.000 _parser.py:969(parse)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      359    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      924    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      924    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     1598    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1991    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      919    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
     3046    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      953    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      131    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      279    0.000    0.000    0.118    0.000 __init__.py:226(compile)
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1142    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       61    0.000    0.000    0.003    0.000 typing.py:687(Union)
      162    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
    131/4    0.000    0.000    0.207    0.052 <frozen importlib._bootstrap_external>:989(exec_module)
